Frame,Class,Class_ID,X,Y
70,Novaria,119,274.0514,424.4351
70,Valentina,110,360.0408,397.6694
70,Masha,87,627.9782,612.3623
70,Claude,64,117.908,72.2616
70,Chou,25,455.16,607.0651
70,Fanny,16,395.9063,605.5496
70,Wanwan,88,27.7472,88.7417
71,Lapu-Lapu,36,607.3786,689.4448
71,Novaria,119,274.296,427.2585
71,Valentina,110,360.1364,397.4263
71,Claude,64,118.4028,72.192
71,Masha,87,627.7335,613.4867
71,Chou,25,453.8744,606.8752
71,Fanny,16,395.4769,606.4924
71,Wanwan,88,27.8385,88.3308
72,Lapu-Lapu,36,607.602,689.7314
72,Valentina,110,360.082,398.8369
72,Masha,87,627.5068,614.8484
72,Claude,64,117.6871,71.1187
72,Novaria,119,274.921,430.7193
72,Chou,25,452.7085,607.8065
72,Wanwan,88,28.1535,87.6815
72,Fanny,16,395.1913,607.9283
73,Lapu-Lapu,36,608.0053,690.0814
73,Valentina,110,360.001,398.8845
73,Claude,64,117.0394,70.8376
73,Masha,87,627.4296,615.5027
73,Novaria,119,275.2139,431.4164
73,Chou,25,452.019,608.3429
73,Wanwan,88,28.6003,87.4946
73,Fanny,16,392.54,607.2965
74,Lapu-Lapu,36,609.3604,690.6967
74,Valentina,110,360.3429,398.4643
74,Claude,64,115.7313,70.4297
74,Masha,87,627.3134,616.4908
74,Novaria,119,275.3751,433.4967
74,Chou,25,450.9725,608.8493
74,Wanwan,88,28.64,86.8782
74,Fanny,16,394.9541,609.8586
75,Lapu-Lapu,36,609.3935,690.8863
75,Valentina,110,360.4292,398.4038
75,Claude,64,115.7018,70.4196
75,Masha,87,627.4031,617.0266
75,Novaria,119,275.247,433.4926
75,Chou,25,449.9589,608.8223
75,Wanwan,88,28.5816,86.2028
76,Lapu-Lapu,36,610.5156,690.9982
76,Valentina,110,360.3452,398.5313
76,Claude,64,115.3827,70.979
76,Masha,87,627.1719,617.4759
76,Chou,25,449.5667,608.9057
76,Novaria,119,275.2933,434.1778
76,Wanwan,88,28.5835,86.1699
76,Fanny,16,390.3903,609.904
77,Lapu-Lapu,36,611.4083,691.532
77,Valentina,110,360.4232,398.4924
77,Claude,64,114.8619,71.0728
77,Novaria,119,275.6851,434.4301
77,Chou,25,449.5877,610.731
77,Masha,87,627.0186,618.8893
77,Wanwan,88,28.4858,86.2403
77,Fanny,16,389.7465,610.451
78,Lapu-Lapu,36,611.2954,691.5244
78,Valentina,110,360.4311,398.4767
78,Claude,64,114.9436,70.8699
78,Chou,25,449.5148,610.6476
78,Novaria,119,275.6332,434.5419
78,Masha,87,627.0739,618.9011
78,Wanwan,88,28.4917,86.2292
79,Lapu-Lapu,36,611.2278,691.4763
79,Chou,25,448.0778,611.4094
79,Valentina,110,359.6356,397.5073
79,Novaria,119,276.6312,434.4605
79,Claude,64,113.313,72.3133
79,Masha,87,627.0838,619.6615
79,Wanwan,88,30.7236,86.5361
79,Fanny,16,390.2015,613.1837
80,Lapu-Lapu,36,610.9387,691.3968
80,Chou,25,445.962,611.196
80,Valentina,110,359.6263,397.6065
80,Claude,64,113.2307,73.0785
80,Novaria,119,276.5426,434.6022
80,Masha,87,627.7643,620.1604
80,Wanwan,88,30.8963,86.1386
81,Lapu-Lapu,36,610.4081,691.0493
81,Chou,25,444.6655,611.6976
81,Claude,64,112.7166,74.1251
81,Novaria,119,276.5948,434.7315
81,Valentina,110,359.7212,397.614
81,Masha,87,627.3208,621.72
81,Wanwan,88,30.9024,86.0978
82,Lapu-Lapu,36,609.7355,690.8987
82,Chou,25,443.6807,611.9064
82,Claude,64,112.2378,74.5307
82,Novaria,119,276.8082,434.8128
